,Piksi Time,Lat Piksi,Lon Piksi,Lat Mav,Lon Mav,Mag,Lamor,Laser
87,265546848.4848485,-10.26145362854,-55.033203125,-10.2614696,-55.033198,24015.327999999998,593,0.1
88,265546948.51485148,-10.26145362854,-55.033203125,-10.26146960978261,-55.033198,24015.338,510,0.0963043478260871
89,265547048.4848485,-10.26145362854,-55.033203125,-10.2614697,-55.033198,24015.284,615,0.0908695652173914
90,265547149.0,-10.26145362854,-55.033203125,-10.2614697,-55.033198,24015.306,574,0.1
91,265547250.0,-10.26145362854,-55.033203125,-10.2614697,-55.033198,24015.284,605,0.1
92,265547349.0,-10.26145362854,-55.033203125,-10.2614697,-55.033198,24015.306,752,0.09642458100558657
93,265547449.4949495,-10.26145362854,-55.033203125,-10.261469726470589,-55.033198,24015.284,674,0.09083798882681568
94,265547554.3478261,-10.26145362854,-55.033203125,-10.2614698,-55.033198,24015.325,586,0.09
95,265547653.7037037,-10.26145362854,-55.033203125,-10.2614698,-55.033198,24015.295,618,0.09
96,265547752.63157895,-10.26145362854,-55.033203125,-10.2614698,-55.033198,24015.317000000003,493,0.09
97,265547852.8301887,-10.26145362854,-55.033203125,-10.2614698,-55.033198,24015.295,586,0.09
98,265547927.02702704,-10.26145362854,-55.033203125,-10.2614699,-55.033198,24015.317000000003,491,0.09371134020618554
99,265547980.54054055,-10.26145362854,-55.033203125,-10.2614699,-55.033198,24015.295,652,0.09881443298969074
100,265548142.85714287,-10.26145362854,-55.033203125,-10.2614699,-55.033198,24015.338,535,0.09631578947368412
101,265548248.4848485,-10.26145362854,-55.033203125,-10.2614699,-55.033198,24015.252,667,0.09153110047846891
102,265548349.4949495,-10.26145362854,-55.033203125,-10.2614699,-55.033198,24015.295,657,0.09
103,265548449.5049505,-10.26145362854,-55.033203125,-10.2614699,-55.033198,24015.317000000003,610,0.09
104,265548553.26086956,-10.26145362854,-55.033203125,-10.2614699,-55.033198,24015.327999999998,576,0.09
105,265548656.43564355,-10.26145362854,-55.033203125,-10.2614699,-55.033198,24015.272999999997,662,0.09
106,265548752.29357797,-10.26145362854,-55.033203125,-10.2614699,-55.033198,24015.284,684,0.09
107,265548847.52475247,-10.26145362854,-55.033203125,-10.2614699,-55.033198,24015.338,735,0.09
108,265548947.47474748,-10.26145362854,-55.033203125,-10.2614699,-55.033198,24015.303,522,0.09
109,265549048.0,-10.26145362854,-55.033203125,-10.2614699,-55.033198,24015.327999999998,669,0.09
110,265549149.47368422,-10.26145362854,-55.033203125,-10.261469881818181,-55.033198,24015.295,591,0.09
111,265549250.4854369,-10.26145362854,-55.033203125,-10.2614698,-55.033198,24015.284,679,0.09
112,265549349.0,-10.26145362854,-55.033203125,-10.2614698,-55.033198,24015.295,535,0.09
113,265549449.0,-10.26145362854,-55.033203125,-10.2614698,-55.033198,24015.295,681,0.09
114,265549553.26086956,-10.26145362854,-55.033203125,-10.2614698,-55.033198,24015.295,574,0.09
115,265549653.27102804,-10.26145362854,-55.033203125,-10.2614698,-55.033198,24015.317000000003,657,0.09
116,265549753.19148937,-10.26145362854,-55.033203125,-10.261469709090909,-55.033198,24015.306,469,0.09
117,265549852.8301887,-10.26145362854,-55.033203125,-10.2614697,-55.033198,24015.306,693,0.09
118,265549927.27272728,-10.26145362854,-55.033203125,-10.2614697,-55.033198,24015.317000000003,569,0.09
119,265549980.7486631,-10.26145362854,-55.033203125,-10.2614697,-55.0331979862745,24015.284,618,0.09
120,265550142.69662923,-10.26145362854,-55.033203125,-10.2614697,-55.0331979,24015.284,518,0.09
121,265550248.97959185,-10.26145362854,-55.033203125,-10.2614697,-55.0331979,24015.281000000003,664,0.09
122,265550350.0,-10.26145362854,-55.033203125,-10.261469692660551,-55.0331979,24015.306,559,0.09
123,265550449.01960784,-10.261454015675152,-55.033203125,-10.261469600917431,-55.0331979,24015.272999999997,613,0.09
124,265550550.52631578,-10.261454582214402,-55.033203125,-10.2614696,-55.033197814655175,24015.295,552,0.08756097560975608
125,265550650.94339624,-10.261454582214402,-55.033203125,-10.2614696,-55.0331978,24015.306,715,0.08263414634146349
126,265550749.48453608,-10.261454582214402,-55.033203125,-10.2614696,-55.0331978,24015.272999999997,469,0.08237113402061853
127,265550849.01960784,-10.261454582214402,-55.033203125,-10.2614696,-55.0331978,24015.317000000003,659,0.08747422680412373
128,265550948.0,-10.261454582214402,-55.033203125,-10.2614696,-55.0331978,24015.295,549,0.09
129,265551048.0,-10.261454582214402,-55.033203125,-10.261469599253733,-55.03319779925373,24015.317000000003,630,0.09
130,265551150.0,-10.261454582214402,-55.033203125,-10.261469524626866,-55.033197724626866,24015.272999999997,544,0.09
131,265551251.4563107,-10.261454582214402,-55.033203125,-10.2614695,-55.0331977,24015.317000000003,735,0.09
132,265551350.0,-10.261454582214402,-55.033203125,-10.2614695,-55.0331977,24015.262000000002,559,0.09267942583732063
133,265551449.0,-10.261454582214402,-55.033203125,-10.2614695,-55.0331977,24015.306,652,0.09741626794258364
134,265551549.4949495,-10.261454582214402,-55.033203125,-10.2614695,-55.0331977,24015.272999999997,527,0.09778846153846156
135,265551652.08333334,-10.261454582214402,-55.033203125,-10.261469412,-55.0331977,24015.292,601,0.09298076923076914
136,265551755.10204083,-10.261454582214402,-55.033203125,-10.2614694,-55.0331977,24015.317000000003,459,0.09206521739130435
137,265551852.8301887,-10.261454582214402,-55.033203125,-10.2614694,-55.0331977,24015.327999999998,627,0.09750000000000004
138,265551926.04166666,-10.261454582214402,-55.033203125,-10.2614694,-55.0331977,24015.262000000002,613,0.1
139,265551978.125,-10.261454582214402,-55.033203125,-10.2614694,-55.0331977,24015.306,632,0.1
140,265552137.93103448,-10.261454582214402,-55.033203125,-10.2614694,-55.0331977,24015.295,564,0.1
141,265552247.4226804,-10.261454582214402,-55.033203125,-10.2614694,-55.03319762564102,24015.272999999997,706,0.1
142,265552349.0,-10.261454582214402,-55.033203125,-10.2614694,-55.0331976,24015.272999999997,596,0.1
143,265552448.51485148,-10.261454582214402,-55.033203125,-10.2614694,-55.0331976,24015.284,640,0.1
144,265552548.4848485,-10.261454582214402,-55.033203125,-10.2614694,-55.0331976,24015.338,569,0.1
145,265552653.26086956,-10.261454582214402,-55.033203125,-10.2614694,-55.0331976,24015.272999999997,720,0.1
146,265552752.29357797,-10.261454582214402,-55.033203125,-10.2614694,-55.0331976,24015.306,486,0.1
147,265552848.0,-10.261454582214402,-55.033203125,-10.2614694,-55.03319750833334,24015.272999999997,640,0.1
148,265552953.33333334,-10.261454582214402,-55.033203125,-10.2614694,-55.0331975,24015.325,513,0.1
149,265553053.21100917,-10.261454582214402,-55.033203125,-10.2614694,-55.0331975,24015.272999999997,735,0.1
150,265553151.04166666,-10.261454582214402,-55.033203125,-10.2614694,-55.0331975,24015.338,518,0.10135000000000007
151,265553250.0,-10.261454582214402,-55.033203125,-10.2614694,-55.0331975,24015.252,676,0.10634999999999997
152,265553347.95918366,-10.261454582214402,-55.033203125,-10.2614694,-55.0331975,24015.317000000003,583,0.10859374999999995
153,265553449.0,-10.261454582214402,-55.033203125,-10.2614694,-55.0331975,24015.272999999997,693,0.10338541666666673
154,265553548.51485148,-10.261454582214402,-55.033203125,-10.2614694,-55.0331975775,24015.327999999998,537,0.1
155,265553653.33333334,-10.261454582214402,-55.033203125,-10.2614694,-55.0331976,24015.306,647,0.1
156,265553757.84313726,-10.261454582214402,-55.033203125,-10.2614694,-55.0331976,24015.306,540,0.1
157,265553851.85185185,-10.261454582214402,-55.033203125,-10.2614694,-55.0331976,24015.338,652,0.1
158,265553925.65445027,-10.261454582214402,-55.033203125,-10.2614694,-55.0331976,24015.317000000003,552,0.09851162790697675
159,265553977.486911,-10.261454582214402,-55.033203125,-10.261469320652173,-55.0331976,24015.306,664,0.09390697674418604
160,265554136.36363637,-10.261454582214402,-55.033203125,-10.2614693,-55.0331976,24015.327999999998,527,0.09
161,265554246.80851063,-10.261454582214402,-55.033203125,-10.2614693,-55.0331976,24015.295,649,0.09
162,265554348.5436893,-10.261454582214402,-55.033203125,-10.2614693,-55.033197535,24015.347,452,0.09
163,265554449.48453608,-10.261454582214402,-55.033203125,-10.2614693,-55.0331975,24015.327999999998,718,0.09
164,265554549.01960784,-10.261454582214402,-55.033203125,-10.2614693,-55.0331975,24015.317000000003,623,0.09
165,265554652.1276596,-10.261454582214402,-55.033203125,-10.2614693,-55.0331975,24015.327999999998,591,0.09
166,265554750.0,-10.261454582214402,-55.033203125,-10.261469225490195,-55.0331975,24015.327999999998,693,0.09
167,265554848.95833334,-10.261454582214402,-55.033203125,-10.2614692,-55.0331975,24015.306,623,0.09
168,265554949.01960784,-10.261454582214402,-55.033203125,-10.2614692,-55.0331975,24015.371,540,0.09
169,265555048.4848485,-10.261454582214402,-55.033203125,-10.2614692,-55.0331975,24015.317000000003,737,0.09
170,265555149.5049505,-10.261454582214402,-55.033203125,-10.2614692,-55.0331975,24015.338,720,0.09
171,265555248.03921568,-10.261454582214402,-55.033203125,-10.2614692,-55.0331975,24015.327999999998,640,0.09
172,265555347.4226804,-10.261454582214402,-55.033203125,-10.2614692,-55.0331975,24015.36,491,0.09126213592233008
173,265555448.03921568,-10.261454582214402,-55.033203125,-10.261469141228071,-55.0331975,24015.327999999998,686,0.09611650485436883
174,265555548.97959185,-10.261454582214402,-55.033203125,-10.2614691,-55.0331975,24015.327999999998,554,0.09894999999999995
175,265555648.51485148,-10.261454582214402,-55.033203125,-10.2614691,-55.0331975,24015.317000000003,647,0.09399999999999993
176,265555747.52475247,-10.261454582214402,-55.033203125,-10.2614691,-55.0331975,24015.338,515,0.09104166666666665
177,265555853.60824743,-10.261454582214402,-55.033203125,-10.261469027472527,-55.0331975,24015.325,635,0.09651041666666667
178,265555926.04166666,-10.261454582214402,-55.033203125,-10.261469,-55.0331975,24015.371,686,0.09865384615384623
179,265555978.125,-10.261454582214402,-55.033203125,-10.261469,-55.0331975,24015.317000000003,759,0.0938461538461539
180,265556138.0952381,-10.261454250501567,-55.033203125,-10.261469,-55.0331975,24015.349,466,0.09
181,265556249.4949495,-10.26145362854,-55.033203125,-10.261468936734694,-55.0331975,24015.338,696,0.09
182,265556349.0,-10.26145362854,-55.033203125,-10.2614689,-55.0331975,24015.317000000003,608,0.09
183,265556449.0,-10.26145362854,-55.033203125,-10.2614689,-55.0331975,24015.317000000003,618,0.09
184,265556548.5436893,-10.26145362854,-55.033203125,-10.2614689,-55.0331975,24015.327999999998,544,0.08939655172413795
185,265556647.91666666,-10.26145362854,-55.033203125,-10.2614689,-55.03319745597015,24015.338,657,0.0851293103448276
186,265556748.5436893,-10.26145362854,-55.033203125,-10.2614689,-55.0331974,24015.327999999998,476,0.08081896551724146
187,265556848.45360824,-10.26145362854,-55.033203125,-10.2614689,-55.0331974,24015.327999999998,645,0.08462857142857139
188,265556953.76344085,-10.26145362854,-55.033203125,-10.261468841284403,-55.0331974,24015.36,681,0.09
189,265557053.27102804,-10.26145362854,-55.033203125,-10.2614688,-55.0331974,24015.327999999998,647,0.09
190,265557152.08333334,-10.26145362854,-55.033203125,-10.2614688,-55.0331974,24015.338,505,0.09
191,265557251.42857143,-10.26145362854,-55.033203125,-10.2614688,-55.0331974,24015.349,637,0.09
192,265557351.04166666,-10.26145362854,-55.033203125,-10.2614688,-55.0331974,24015.349,500,0.09
193,265557451.42857143,-10.26145362854,-55.033203125,-10.2614688,-55.0331974,24015.314,635,0.09
194,265557548.4848485,-10.26145362854,-55.033203125,-10.2614688,-55.0331974,24015.349,701,0.09043269230769231
195,265557649.5049505,-10.261454025117473,-55.033203125,-10.2614688,-55.0331974,24015.327999999998,652,0.09528846153846146
196,265557749.48453608,-10.261454582214402,-55.033203125,-10.2614688,-55.0331974,24015.317000000003,522,0.1
197,265557849.5145631,-10.261454582214402,-55.033203125,-10.2614688,-55.0331974,24015.338,686,0.1
198,265557925.2631579,-10.261454582214402,-55.033203125,-10.2614688,-55.0331974,24015.36,706,0.1
199,265557978.42105263,-10.261454582214402,-55.033203125,-10.2614688,-55.0331974,24015.338,735,0.1
200,265558138.82352942,-10.261454582214402,-55.033203125,-10.2614688,-55.0331974,24015.371,500,0.1
201,265558248.4848485,-10.261454582214402,-55.033203125,-10.2614688,-55.0331974,24015.317000000003,696,0.1
202,265558348.51485148,-10.261454582214402,-55.033203125,-10.2614688,-55.03319736626506,24015.425,698,0.1
203,265558448.0,-10.261454582214402,-55.033203125,-10.2614688,-55.0331973,24015.697,667,0.1
204,265558548.0,-10.261454582214402,-55.033203125,-10.2614688,-55.0331973,24016.097999999998,554,0.1
205,265558648.0,-10.261454582214402,-55.033203125,-10.2614688,-55.0331973,24016.655,693,0.10432038834951468
206,265558747.05882353,-10.261454582214402,-55.033203125,-10.2614688,-55.0331973,24017.423,520,0.10917475728155343
207,265558848.0,-10.261454582214402,-55.033203125,-10.2614688,-55.0331973,24018.262000000002,710,0.10564102564102561
208,265558946.46464646,-10.261454582214402,-55.033203125,-10.2614688,-55.03319729538461,24019.317000000003,503,0.10061538461538465
209,265559047.47474748,-10.261454582214402,-55.033203125,-10.2614688,-55.0331972,24020.314,635,0.1
210,265559153.33333334,-10.261454582214402,-55.033203125,-10.2614688,-55.0331972,24021.272,637,0.1
211,265559253.21100917,-10.261454582214402,-55.033203125,-10.2614688,-55.0331972,24022.501,664,0.0958549222797928
212,265559349.0,-10.261454582214402,-55.033203125,-10.2614688,-55.0331972,24023.609,713,0.09067357512953358
213,265559449.0,-10.261454582214402,-55.033203125,-10.2614688,-55.0331972,24023.825,750,0.09
214,265559548.51485148,-10.261454582214402,-55.033203125,-10.2614688,-55.0331972,24023.816000000003,679,0.09
215,265559650.0,-10.261454582214402,-55.033203125,-10.2614688,-55.0331972,24023.761000000002,686,0.09
216,265559748.5436893,-10.261454582214402,-55.033203125,-10.2614688,-55.0331972,24023.816000000003,691,0.09
217,265559852.74725273,-10.261454582214402,-55.033203125,-10.2614688,-55.0331972,24023.816000000003,659,0.09
218,265559929.3814433,-10.261454582214402,-55.033203125,-10.2614688,-55.0331972,24023.793999999998,486,0.09
219,265559980.92783505,-10.261454582214402,-55.033203125,-10.2614688,-55.0331972,24023.847999999998,742,0.09
220,265560140.65934065,-10.261454582214402,-55.033203125,-10.2614688,-55.0331972,24023.881,515,0.09
221,265560244.55445546,-10.261454582214402,-55.033203125,-10.2614688,-55.0331972,24023.847999999998,649,0.09
222,265560350.57471263,-10.261454582214402,-55.033203125,-10.2614688,-55.0331972,24023.826,500,0.09
223,265560453.27102804,-10.261454582214402,-55.033203125,-10.2614688,-55.0331972,24023.793999999998,623,0.09
224,265560551.02040815,-10.261454582214402,-55.033203125,-10.2614688,-55.03319717714286,24023.814,596,0.09
225,265560651.4563107,-10.261454582214402,-55.033203125,-10.2614688,-55.0331971,24023.805,625,0.09
226,265560748.51485148,-10.261454582214402,-55.033203125,-10.2614688,-55.0331971,24023.793999999998,464,0.09
